id,track_name,artist_name,valence,energy,danceability
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),Khalid,0.338,0.648,0.708
7675gjlUZzneYiMrQ9Inx8,Mama Said,Lukas Graham,0.531,0.867,0.748
4rHmKlFRiFzabiVO6e9w2e,Bon Appétit,Katy Perry,0.528,0.795,0.8
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Jack Ü,0.197,0.781,0.432
1snWlbcbgQpJfknoI30DWG,Darkside,Alan Walker,0.112,0.642,0.425
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,Sam Hunt,0.661,0.458,0.732
6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,Isaiah Firebrace,0.588,0.745,0.422
0OGidxV6e9dWeN2bXjXBGi,The Formula,The D.O.C.,0.475,0.626,0.83
39hnH8WdPmNT3Q3yzwC9Rg,Why You Always Hatin?,YG,0.38,0.336,0.926
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,0.777,0.713,0.899
5K5dQsYdSdo2LKdepxbYAd,Gettin' It (feat. Parliament Funkadelic),Too $hort,0.647,0.41,0.902
6xcJyGpfZbuuiequtnlKt4,BUTTERFLY EFFECT,Travis Scott,0.196,0.628,0.764
5BSz8sJO2YmKfNVQG7fq2J,ULT,Denzel Curry,0.233,0.786,0.772
4F1yvJfQ7gJkrcgFJQDjOr,Playinwitme (feat. Kehlani),KYLE,0.676,0.584,0.689
7nnWIPM5hwE3DaUBkvOIpy,Drive,Incubus,0.666,0.792,0.645
2dLLR6qlu5UJ5gk0dKz0h3,Royals,Lorde,0.337,0.428,0.674
71M0bKswJSAlLxrVXwT8Sq,Collie Man,Various Artists,0.377,0.702,0.617
7n6ibfsRHhCb1Ccl9Fg2CZ,Scream & Shout,will.i.am,0.473,0.616,0.79
0pEb2cHdPKyKBAanFUOLTp,Koop Island Blues,Koop,0.521,0.537,0.555
5zF2zGPkL6Ipsn9AfAK6RP,This Love,Maroon 5,0.78,0.868,0.714
2ZQyksYO4zzhyHNcueL0CP,Home,Phillip Phillips,0.293,0.792,0.592
0szSOfZVM3G5mWI1ogQjr7,Mourning Sound,Grizzly Bear,0.441,0.737,0.507
1F4SgkTGnamV8KBgCwlHq2,All Is Well,Austin Basham,0.263,0.419,0.34
4JvclO8lNugobD1afavcYS,Nantes,Beirut,0.638,0.533,0.437
6nCLk61VK0M7ZbU7IozEwR,Bros,Wolf Alice,0.222,0.921,0.583
2aQx1i3XjtB3TSN4J770Iv,Phantom Limb,The Shins,0.482,0.847,0.515
6Y9WuYN6OfMIzKeEgx6El5,Jumping Fences,The Olivia Tremor Control,0.688,0.821,0.536
1p2TWJxUlHE5JR0sE6E1d7,Best to You,Blood Orange,0.345,0.785,0.658
2BBkIgdXLv5vyp1DR0wpQl,Little Lion Man,Mumford & Sons,0.441,0.512,0.519
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,0.172,0.931,0.451
7dpOCuGJOlxDhEouNQNCBM,Can't Do Without You,Caribou,0.508,0.403,0.693
41g3tCnqP8yTauiPQPndVO,All The Rage Back Home,Interpol,0.349,0.907,0.288
1akkzUk0nUq90X56xDVGHZ,Everybody Talks,Neon Trees,0.725,0.924,0.471
78J9MBkAoqfvyeEpQKJDzD,Step,Vampire Weekend,0.624,0.724,0.624
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,0.371,0.936,0.56
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,0.224,0.433,0.307
5vCE0xRLIEG1Zej2tgWFDb,Vasoline,Stone Temple Pilots,0.323,0.989,0.297
0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi,0.72,0.887,0.534
5bU4KX47KqtDKKaLM4QCzh,Die MF Die,Dope,0.567,0.96,0.657
62nQ8UZVqR2RMvkJHkcO2o,Jeremy,Pearl Jam,0.287,0.846,0.285
7ouMYWpwJ422jRcDASZB7P,Knights of Cydonia,Muse,0.211,0.963,0.366
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,0.661,0.81,0.654
4T2SmVJPtDdugk5j5xV1d5,You And Me,Lifehouse,0.363,0.428,0.458
1nuqzCMgj2lxZCmpdCmIGv,A Lack of Color,Various Artists,0.357,0.337,0.635
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World,0.0765,0.147,0.407
0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,Ed Sheeran,0.11,0.328,0.526
39Odj4vLKRarATkCA31gaW,Possibility,Various Artists,0.0772,0.311,0.285
7wOInrhCRiWaXdzvQ7oUvN,Don't Go (feat. Lights),Bring Me The Horizon,0.0875,0.786,0.405
0VZ9xPNa6ROafP6GYYuv2S,Marry Me,Train,0.492,0.269,0.366
